Protein_ID;Gene Name;log2_FC;p_val;p_adj;significant;WT_vs_DPP4_significant;imputed;num_NAs
A0AV96;RBM47;-1.45;1.27E-11;4.88E-10;TRUE;TRUE;FALSE;0
A6NFQ2;TCAF2;-1.59;1.58E-12;8.09E-11;TRUE;TRUE;FALSE;0
B7ZBB8;PPP1R3G;-1.25;1.52E-05;0.000104;TRUE;TRUE;TRUE;8
C4AMC7;WASH3P;1.26;1.70E-08;2.51E-07;TRUE;TRUE;FALSE;0
O00115;DNASE2;-1.04;1.64E-05;0.000112;TRUE;TRUE;FALSE;0
O00213;APBB1;1.14;3.59E-08;4.81E-07;TRUE;TRUE;TRUE;2
O00506;STK25;1.13;0.0166;0.0426;TRUE;TRUE;TRUE;3
O00515;LAD1;-3.68;1.52E-25;3.11E-22;TRUE;TRUE;FALSE;0
O00622;CCN1;-2.51;1.70E-07;1.92E-06;TRUE;TRUE;FALSE;0
O00767;SCD;-1.53;1.19E-06;1.08E-05;TRUE;TRUE;TRUE;3
O14495;PLPP3;1.43;0.00104;0.00406;TRUE;TRUE;TRUE;1
O14773;TPP1;1.3;3.33E-06;2.67E-05;TRUE;TRUE;FALSE;0
O14896;IRF6;-1.76;8.88E-09;1.41E-07;TRUE;TRUE;TRUE;10
O14967;CLGN;1.71;1.69E-10;4.81E-09;TRUE;TRUE;FALSE;0
O15056;SYNJ2;1.29;5.11E-07;5.14E-06;TRUE;TRUE;FALSE;0
O15264;MAPK13;-1.3;1.15E-11;4.49E-10;TRUE;TRUE;FALSE;0
O15327;INPP4B;-2.3;1.66E-11;6.26E-10;TRUE;TRUE;FALSE;0
O15357;INPPL1;1.04;1.89E-06;1.61E-05;TRUE;TRUE;FALSE;0
O15525;MAFG;-1.28;0.00729;0.0212;TRUE;TRUE;TRUE;10
O43175;PHGDH;-1.05;7.75E-09;1.25E-07;TRUE;TRUE;FALSE;0
O43278;SPINT1;-1.29;1.61E-07;1.84E-06;TRUE;TRUE;FALSE;0
O43294;TGFB1I1;1.1;0.00039;0.00173;TRUE;TRUE;TRUE;1
O60271;SPAG9;1.36;8.59E-13;4.88E-11;TRUE;TRUE;FALSE;0
O60282;KIF5C;-1.07;4.63E-05;0.000274;TRUE;TRUE;TRUE;7
O60487;MPZL2;-3.03;3.18E-13;2.06E-11;TRUE;TRUE;TRUE;11
O60669;SLC16A7;1.31;0.000406;0.00179;TRUE;TRUE;TRUE;4
O60830;TIMM17B;1.04;0.00201;0.0071;TRUE;TRUE;TRUE;2
O75155;CAND2;1.28;5.21E-07;5.21E-06;TRUE;TRUE;TRUE;3
O75521;ECI2;1.52;5.82E-17;1.70E-14;TRUE;TRUE;FALSE;0
O75554;WBP4;-1.32;0.00152;0.00562;TRUE;TRUE;TRUE;4
O76041;NEBL;2.79;1.83E-09;3.79E-08;TRUE;TRUE;TRUE;8
O76074;PDE5A;-1.42;1.61E-10;4.62E-09;TRUE;TRUE;FALSE;0
O94875;SORBS2;-1.56;5.41E-07;5.34E-06;TRUE;TRUE;TRUE;9
O94907;DKK1;-1.21;3.02E-07;3.21E-06;TRUE;TRUE;FALSE;0
O95171;SCEL;-2.82;5.41E-14;5.27E-12;TRUE;TRUE;TRUE;11
O95340;PAPSS2;1.45;5.46E-11;1.72E-09;TRUE;TRUE;FALSE;0
O95471;CLDN7;-3.11;1.85E-12;9.33E-11;TRUE;TRUE;TRUE;11
O95678;KRT75;1.06;2.59E-11;8.95E-10;TRUE;TRUE;FALSE;0
O95696;BRD1;-1.02;0.00235;0.0081;TRUE;TRUE;FALSE;0
O95994;AGR2;-1.32;1.26E-08;1.90E-07;TRUE;TRUE;FALSE;0
P00750;PLAT;1.17;9.68E-14;7.93E-12;TRUE;TRUE;FALSE;0
P00966;ASS1;-3.37;3.69E-15;5.53E-13;TRUE;TRUE;FALSE;0
P02441;P02441;-1.42;0.0108;0.0296;TRUE;TRUE;TRUE;10
P02538;KRT6A;-1.43;0.000436;0.0019;TRUE;TRUE;TRUE;7
P02753;RBP4;2.28;3.46E-10;8.75E-09;TRUE;TRUE;TRUE;3
P02795;MT2A;1;0.00274;0.00923;TRUE;TRUE;FALSE;0
P04155;TFF1;2.86;1.60E-10;4.62E-09;TRUE;TRUE;TRUE;9
P05026;ATP1B1;-1.26;5.09E-05;0.000298;TRUE;TRUE;FALSE;0
P05783;KRT18;-1.09;0.000259;0.00121;TRUE;TRUE;FALSE;0
P05787;KRT8;-1.06;1.94E-14;2.16E-12;TRUE;TRUE;FALSE;0
P06737;PYGL;1.12;9.43E-13;5.13E-11;TRUE;TRUE;FALSE;0
P07196;NEFL;3.74;7.92E-18;2.86E-15;TRUE;TRUE;FALSE;0
P07203;GPX1;-1.23;3.85E-06;3.04E-05;TRUE;TRUE;FALSE;0
P07996;THBS1;-2.84;6.62E-14;5.89E-12;TRUE;TRUE;FALSE;0
P08195;SLC3A2;-1.12;1.15E-15;2.08E-13;TRUE;TRUE;FALSE;0
P08237;PFKM;1.19;1.56E-06;1.36E-05;TRUE;TRUE;FALSE;0
P08243;ASNS;-1.36;9.62E-16;1.90E-13;TRUE;TRUE;FALSE;0
P08294;SOD3;1.23;1.12E-11;4.39E-10;TRUE;TRUE;TRUE;1
P08648;ITGA5;1.47;0.000315;0.00143;TRUE;TRUE;TRUE;4
P08670;VIM;1.76;1.25E-15;2.19E-13;TRUE;TRUE;FALSE;0
P08754;GNAI3;-1;1.14E-13;8.86E-12;TRUE;TRUE;FALSE;0
P09758;TACSTD2;-3.68;1.36E-24;2.09E-21;TRUE;TRUE;FALSE;0
P0CG40;SP9;-1.72;1.24E-09;2.69E-08;TRUE;TRUE;TRUE;12
P10145;CXCL8;-1.39;7.76E-05;0.00043;TRUE;TRUE;TRUE;15
P10253;GAA;1.12;2.55E-11;8.84E-10;TRUE;TRUE;FALSE;0
P10636;MAPT;1.67;3.15E-09;5.91E-08;TRUE;TRUE;TRUE;11
P11166;SLC2A1;-1.51;6.65E-15;8.88E-13;TRUE;TRUE;FALSE;0
