file;sample;sample_name;condition;replicate
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241202_CultBatch1_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep1_1_500ng_Slot1-34_1_10455.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep1_1_500ng_Slot1-34_1_10455.d;PC3_Cultbatch1_rep1;WT;1
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241202_CultBatch1_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep2_1_500ng_Slot1-35_1_10461.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep2_1_500ng_Slot1-35_1_10461.d;PC3_Cultbatch1_rep2;WT;2
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241202_CultBatch1_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep3_1_500ng_Slot1-36_1_10469.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep3_1_500ng_Slot1-36_1_10469.d;PC3_Cultbatch1_rep3;WT;3
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241202_CultBatch1_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep4_1_500ng_Slot1-37_1_10476.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep4_1_500ng_Slot1-37_1_10476.d;PC3_Cultbatch1_rep4;WT;4
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241202_CultBatch1_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep5_1_500ng_Slot1-38_1_10484.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep5_1_500ng_Slot1-38_1_10484.d;PC3_Cultbatch1_rep5;WT;5
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241202_CultBatch1_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep6_1_500ng_Slot1-39_1_10490.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch1_rep6_1_500ng_Slot1-39_1_10490.d;PC3_Cultbatch1_rep6;WT;6
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241220_CultBatch2_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch2_rep1_1_500ng_20241220_Slot2-11_1_10671.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch2_rep1_1_500ng_20241220_Slot2-11_1_10671.d;PC3_Cultbatch2_rep1;WT;1
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241220_CultBatch2_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch2_rep2_1_500ng_20241220_Slot2-12_1_10677.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch2_rep2_1_500ng_20241220_Slot2-12_1_10677.d;PC3_Cultbatch2_rep2;WT;2
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241220_CultBatch2_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch2_rep3_1_500ng_20241220_Slot2-13_1_10685.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch2_rep3_1_500ng_20241220_Slot2-13_1_10685.d;PC3_Cultbatch2_rep3;WT;3
C:\DATA_TRANSFER\Spain\P2024-22_Core_UAH_JoseMMR\20241220_CultBatch2_JM\P2024-22_UAH_JMMR_PC3andWT_cultbatch2_rep4_1_500ng_20241220_Slot2-14_1_10691.d;P2024-22_UAH_JMMR_PC3andWT_cultbatch2_rep4_1_500ng_20241220_Slot2-14_1_10691.d;PC3_Cultbatch2_rep4;WT;4
