Protein_ID;Protein.Names;Genes;First.Protein.Description;PC3_Cultbatch1_rep1;PC3_Cultbatch1_rep2;PC3_Cultbatch1_rep3;PC3_Cultbatch1_rep4;PC3_Cultbatch1_rep5;PC3_Cultbatch1_rep6;PC3_Cultbatch2_rep1;PC3_Cultbatch2_rep2;PC3_Cultbatch2_rep3;PC3_Cultbatch2_rep4;PC3_Cultbatch2_rep5;PC3_Cultbatch2_rep6;PC3_DPP4_Cultbatch1_rep1;PC3_DPP4_Cultbatch1_rep2;PC3_DPP4_Cultbatch1_rep3;PC3_DPP4_Cultbatch1_rep4;PC3_DPP4_Cultbatch1_rep5;PC3_DPP4_Cultbatch1_rep6;PC3_DPP4_Cultbatch2_rep1;PC3_DPP4_Cultbatch2_rep2;PC3_DPP4_Cultbatch2_rep3;PC3_DPP4_Cultbatch2_rep4;PC3_DPP4_Cultbatch2_rep5;PC3_DPP4_Cultbatch2_rep6
A0A0B4J2A2;;PPIAL4C;;26653.2;50795.3;63408.4;65062.8;33747.9;33995.8;;29036.4;28613.7;53623.1;63156.8;44046.1;56668.4;56104.3;70287.3;41383.6;44377.9;61929.3;23239.9;11047.1;;48846.5;45091.5;51617.2
A0A0B4J2F0;;PIGBOS1;;;;3924.88;4876.86;;;;8246;;9501.98;11204.4;;4362;;5674.4;;;;13615.6;;;;11402.2;10416.4
A0A1B0GW35;;EXOC1L;;289145;286681;522727;483668;307376;304227;613490;685460;651504;510415;647915;621185;278920;235953;405660;189534;227090;464847;590921;590775;531210;491974;495875;588076
A0AV96;;RBM47;;9535.21;3630.73;6109.81;6336.95;9583.06;6951.46;8858.68;7221.98;7120.01;12051.5;8586.19;8436.23;18845;22636.8;21917.6;21364.6;23399.1;23080;24198.7;25463.3;24351.9;24822.1;16499;25144.6
A0AVF1;;IFT56;;2688.64;1288.5;;;2689.42;2780.09;;;;752.113;1070.88;;1385.85;1309.07;492.521;2425.82;1832.66;;;;;400.348;;867.909
A0AVI4;;TMEM129;;1736.08;1092.29;;767.281;2085.62;2232.54;;;;1395.85;1608.7;;2469.3;3540.76;1862.7;5852.25;3542.36;1234.48;314.372;;2030.43;;2533.67;2660.72
A0AVT1;;UBA6;;117439;104473;103147;106030;117797;118947;100448;98968.1;107426;107036;104019;109572;104558;108513;107048;117881;117494;102121;92092.4;109968;121918;103169;110451;109729
A0FGR8;;ESYT2;;25569.7;25749.1;23063.8;16644.5;27459.2;27736.4;34206.2;31427.6;34477.9;37142.3;35290.1;24698.4;35664;37826.4;39995;48798.6;37588.2;36956.6;46533.1;47839.1;55088.8;49513.8;46206.1;49383
A0JNW5;;BLTP3B;;11076.6;12224.5;11246.3;9201.36;13955;12999.8;6605.82;6185.65;8832.05;10727;9910.39;8476.03;7196.4;6970;6851.6;7419.64;7198.33;4983.47;4538.29;4361.34;4224.29;4250.38;3517.17;4198
A0MZ66;;SHTN1;;23780.6;23620;31403.2;29506.1;22320.4;19914.8;31189.4;31577.4;29541.7;29628.5;31789.7;33969.5;33036.8;32435.6;37640.9;29295.8;29140;43098.1;43799.6;43051.1;39475.1;40813.4;39081.1;40707.6
