Protein_ID;Gene Name;log2_FC;p_val;p_adj;significant;WT_vs_DPP4_significant;imputed;num_NAs;Protein.Names.x;Protein.Names.y
A0AV96;RBM47;-1.45;1.27E-11;4.88E-10;TRUE;TRUE;FALSE;0;RBM47;RNA-binding protein 47
A6NFQ2;TCAF2;-1.59;1.58E-12;8.09E-11;TRUE;TRUE;FALSE;0;TCAF2;TRPM8 channel-associated factor 2
B7ZBB8;PPP1R3G;-1.25;0.0000152;0.000104;TRUE;TRUE;TRUE;8;PP13G;Protein phosphatase 1 regulatory subunit 3G
C4AMC7;WASH3P;1.26;0.000000017;0.000000251;TRUE;TRUE;FALSE;0;WASH3;Putative WAS protein family homolog 3
O00115;DNASE2;-1.04;0.0000164;0.000112;TRUE;TRUE;FALSE;0;DNS2A;Deoxyribonuclease-2-alpha
O00213;APBB1;1.14;3.59E-08;0.000000481;TRUE;TRUE;TRUE;2;APBB1;Amyloid beta precursor protein binding family B member 1
O00506;STK25;1.13;0.0166;0.0426;TRUE;TRUE;TRUE;3;STK25;Serine/threonine-protein kinase 25
O00515;LAD1;-3.68;1.52E-25;3.11E-22;TRUE;TRUE;FALSE;0;LAD1;Ladinin-1
O00622;CCN1;-2.51;0.00000017;0.00000192;TRUE;TRUE;FALSE;0;CCN1;CCN family member 1
O00767;SCD;-1.53;0.00000119;0.0000108;TRUE;TRUE;TRUE;3;SCD;Stearoyl-CoA desaturase
O14495;PLPP3;1.43;0.00104;0.00406;TRUE;TRUE;TRUE;1;PLPP3;Phospholipid phosphatase 3
O14773;TPP1;1.3;0.00000333;0.0000267;TRUE;TRUE;FALSE;0;TPP1;Tripeptidyl-peptidase 1
O14896;IRF6;-1.76;8.88E-09;0.000000141;TRUE;TRUE;TRUE;10;IRF6;Interferon regulatory factor 6
O14967;CLGN;1.71;1.69E-10;4.81E-09;TRUE;TRUE;FALSE;0;CLGN;Calmegin
O15056;SYNJ2;1.29;0.000000511;0.00000514;TRUE;TRUE;FALSE;0;SYNJ2;Synaptojanin-2
O15264;MAPK13;-1.3;1.15E-11;4.49E-10;TRUE;TRUE;FALSE;0;MK13;Mitogen-activated protein kinase 13
O15327;INPP4B;-2.3;1.66E-11;6.26E-10;TRUE;TRUE;FALSE;0;INP4B;Inositol polyphosphate 4-phosphatase type II
O15357;INPPL1;1.04;0.00000189;0.0000161;TRUE;TRUE;FALSE;0;SHIP2;Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 2
O15525;MAFG;-1.28;0.00729;0.0212;TRUE;TRUE;TRUE;10;MAFG;Transcription factor MafG
O43175;PHGDH;-1.05;7.75E-09;0.000000125;TRUE;TRUE;FALSE;0;SERA;D-3-phosphoglycerate dehydrogenase
O43278;SPINT1;-1.29;0.000000161;0.00000184;TRUE;TRUE;FALSE;0;SPIT1;Kunitz-type protease inhibitor 1
O43294;TGFB1I1;1.1;0.00039;0.00173;TRUE;TRUE;TRUE;1;TGFI1;Transforming growth factor beta-1-induced transcript 1 protein
O60271;SPAG9;1.36;8.59E-13;4.88E-11;TRUE;TRUE;FALSE;0;JIP4;C-Jun-amino-terminal kinase-interacting protein 4
O60282;KIF5C;-1.07;0.0000463;0.000274;TRUE;TRUE;TRUE;7;KIF5C;Kinesin heavy chain isoform 5C
O60487;MPZL2;-3.03;3.18E-13;2.06E-11;TRUE;TRUE;TRUE;11;MPZL2;Myelin protein zero-like protein 2
O60669;SLC16A7;1.31;0.000406;0.00179;TRUE;TRUE;TRUE;4;MOT2;Monocarboxylate transporter 2
O60830;TIMM17B;1.04;0.00201;0.0071;TRUE;TRUE;TRUE;2;TI17B;Mitochondrial import inner membrane translocase subunit Tim17-B
O75155;CAND2;1.28;0.000000521;0.00000521;TRUE;TRUE;TRUE;3;CAND2;Cullin-associated NEDD8-dissociated protein 2
O75521;ECI2;1.52;5.82E-17;1.70E-14;TRUE;TRUE;FALSE;0;ECI2;Enoyl-CoA delta isomerase 2
O75554;WBP4;-1.32;0.00152;0.00562;TRUE;TRUE;TRUE;4;WBP4;WW domain-binding protein 4
O76041;NEBL;2.79;1.83E-09;3.79E-08;TRUE;TRUE;TRUE;8;NEBL;Nebulette
O76074;PDE5A;-1.42;1.61E-10;4.62E-09;TRUE;TRUE;FALSE;0;PDE5A;cGMP-specific 3',5'-cyclic phosphodiesterase
O94875;SORBS2;-1.56;0.000000541;0.00000534;TRUE;TRUE;TRUE;9;SRBS2;Sorbin and SH3 domain-containing protein 2
O94907;DKK1;-1.21;0.000000302;0.00000321;TRUE;TRUE;FALSE;0;DKK1;Dickkopf-related protein 1
O95171;SCEL;-2.82;5.41E-14;5.27E-12;TRUE;TRUE;TRUE;11;SCEL;Sciellin
O95340;PAPSS2;1.45;5.46E-11;1.72E-09;TRUE;TRUE;FALSE;0;PAPS2;Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2
O95471;CLDN7;-3.11;1.85E-12;9.33E-11;TRUE;TRUE;TRUE;11;CLD7;Claudin-7
O95678;KRT75;1.06;2.59E-11;8.95E-10;TRUE;TRUE;FALSE;0;K2C75;Keratin, type II cytoskeletal 75
O95696;BRD1;-1.02;0.00235;0.0081;TRUE;TRUE;FALSE;0;BRD1;Bromodomain-containing protein 1
O95994;AGR2;-1.32;1.26E-08;0.00000019;TRUE;TRUE;FALSE;0;AGR2;Anterior gradient protein 2 homolog
P00750;PLAT;1.17;9.68E-14;7.93E-12;TRUE;TRUE;FALSE;0;TPA;Tissue-type plasminogen activator
P00966;ASS1;-3.37;3.69E-15;5.53E-13;TRUE;TRUE;FALSE;0;ASSY;Argininosuccinate synthase
P02538;KRT6A;-1.43;0.000436;0.0019;TRUE;TRUE;TRUE;7;K2C6A;Keratin, type II cytoskeletal 6A
P02753;RBP4;2.28;3.46E-10;8.75E-09;TRUE;TRUE;TRUE;3;RET4;Retinol-binding protein 4
P02795;MT2A;1;0.00274;0.00923;TRUE;TRUE;FALSE;0;MT2;Metallothionein-2
P04155;TFF1;2.86;1.60E-10;4.62E-09;TRUE;TRUE;TRUE;9;TFF1;Trefoil factor 1
P05026;ATP1B1;-1.26;0.0000509;0.000298;TRUE;TRUE;FALSE;0;AT1B1;Sodium/potassium-transporting ATPase subunit beta-1
P05783;KRT18;-1.09;0.000259;0.00121;TRUE;TRUE;FALSE;0;K1C18;Keratin, type I cytoskeletal 18
